Region,date,commodity,price
ACEH,2020-05-15,"Meat (beef, first quality)",136000.0
ACEH,2020-05-15,"Meat (beef, second quality)",107500.0
ACEH,2020-05-15,Meat (chicken),25859.84833333333
ACEH,2020-05-15,"Meat (chicken, broiler)",25895.454
ACEH,2020-05-15,Oil (vegetable),13753.9775
ACEH,2020-05-15,"Oil (vegetable, bulk)",11795.453333333333
ACEH,2020-05-15,"Oil (vegetable, packaged)",14875.0
ACEH,2020-05-15,Onions (shallot),59986.364
ACEH,2020-05-15,"Onions (shallot, medium)",60276.51499999999
ACEH,2020-05-15,Rice,10301.893333333333
ACEH,2020-05-15,Rice (high quality),10817.33
ACEH,2020-05-15,Rice (low quality),9736.553333333333
ACEH,2020-05-15,Rice (medium quality),10280.454000000002
ACEH,2020-05-15,Sugar,18673.295
ACEH,2020-05-15,Sugar (local),18176.135000000002
ACEH,2020-05-15,Sugar (premium),18772.7275
ACEH,2020-06-15,Chili (bird's eye),24665.518
ACEH,2020-06-15,"Chili (bird's eye, green)",25500.0
ACEH,2020-06-15,Chili (red),21431.035
ACEH,2020-06-15,"Chili (red, curly)",21228.4475
ACEH,2020-06-15,Eggs,23082.33
ACEH,2020-06-15,Eggs (broiler),23382.760000000002
ACEH,2020-06-15,Garlic,24497.128333333338
ACEH,2020-06-15,Garlic (medium),23172.416666666668
ACEH,2020-06-15,Meat (beef),129862.068
ACEH,2020-06-15,"Meat (beef, first quality)",134827.585
ACEH,2020-06-15,"Meat (beef, second quality)",112500.0
ACEH,2020-06-15,Meat (chicken),33036.206
ACEH,2020-06-15,"Meat (chicken, broiler)",31920.2575
ACEH,2020-06-15,Oil (vegetable),13428.276000000002
ACEH,2020-06-15,"Oil (vegetable, bulk)",10796.552
ACEH,2020-06-15,"Oil (vegetable, packaged)",14946.552
ACEH,2020-06-15,Onions (shallot),48968.39000000001
ACEH,2020-06-15,"Onions (shallot, medium)",48968.39000000001
ACEH,2020-06-15,Rice,10262.758
ACEH,2020-06-15,Rice (high quality),11136.855
ACEH,2020-06-15,Rice (low quality),9682.414
ACEH,2020-06-15,Rice (medium quality),10092.07
ACEH,2020-06-15,Sugar,16068.103333333333
ACEH,2020-06-15,Sugar (local),15096.261666666667
ACEH,2020-06-15,Sugar (premium),18189.655
ACEH,2020-07-15,Chili (bird's eye),35723.333999999995
ACEH,2020-07-15,"Chili (bird's eye, green)",35354.167499999996
ACEH,2020-07-15,"Chili (bird's eye, red)",42000.0
ACEH,2020-07-15,Chili (red),29004.1675
ACEH,2020-07-15,"Chili (red, curly)",28390.0
ACEH,2020-07-15,Eggs,25850.0
ACEH,2020-07-15,Eggs (broiler),25664.444999999996
ACEH,2020-07-15,Garlic,21083.3325
ACEH,2020-07-15,Garlic (medium),19916.6675
ACEH,2020-07-15,Meat (beef),130558.33199999998
ACEH,2020-07-15,"Meat (beef, first quality)",135650.0
ACEH,2020-07-15,"Meat (beef, second quality)",122333.33
ACEH,2020-07-15,Meat (chicken),28658.3325
ACEH,2020-07-15,"Meat (chicken, broiler)",30391.6675
ACEH,2020-07-15,Oil (vegetable),13472.0
ACEH,2020-07-15,"Oil (vegetable, bulk)",10897.221666666666
ACEH,2020-07-15,"Oil (vegetable, packaged)",14853.333999999999
ACEH,2020-07-15,Onions (shallot),34102.77833333333
ACEH,2020-07-15,"Onions (shallot, medium)",32950.0
ACEH,2020-07-15,Rice,10345.162
ACEH,2020-07-15,Rice (high quality),10936.39
ACEH,2020-07-15,Rice (low quality),9716.111666666666
ACEH,2020-07-15,Rice (medium quality),10235.5
ACEH,2020-07-15,Sugar,15153.888333333334
ACEH,2020-07-15,Sugar (local),13731.666000000001
ACEH,2020-07-15,Sugar (premium),18166.666666666668
ACEH,2020-08-15,Chili (bird's eye),46100.0
